Loc PackedFile
Key	Text	Tooltip
effect_bundles_localised_description_vik_stance_blockading	Makes ready to capture a coastal settlement.	true
effect_bundles_localised_title_vik_politics_lineage_doubts	Doubts About Legitimacy	true
effect_bundles_localised_description_vik_decree_honour_nobles	This decree has improved the loyalty of our nobles, as such security at home improves our standing abroad tenfold.	true
effect_bundles_localised_title_vik_leader_influence_8	Leader Influence: 8	true
effect_bundles_localised_title_vik_leader_influence_9	Leader Influence: 9	true
effect_bundles_localised_title_vik_leader_influence_4	Leader Influence: 4	true
effect_bundles_localised_description_vik_roman_walls	Time and tide wait for no man, but Roman walls still stand strong.	true
effect_bundles_localised_title_vik_leader_influence_5	Leader Influence: 5	true
effect_bundles_localised_title_vik_leader_influence_6	Leader Influence: 6	true
effect_bundles_localised_title_vik_leader_influence_7	Leader Influence: 7	true
effect_bundles_localised_title_vik_leader_influence_0	Leader Influence: 0	true
effect_bundles_localised_title_vik_leader_influence_1	Leader Influence: 1	true
effect_bundles_localised_description_vik_faction_trait_strat_clut_separatist	Strat Clut Separatists get the following bonuses:	true
effect_bundles_localised_title_vik_leader_influence_2	Leader Influence: 2	true
effect_bundles_localised_title_vik_leader_influence_3	Leader Influence: 3	true
effect_bundles_localised_description_vik_kingdom_short_dummy	Your faction is upgraded with the following additional bonuses:	true
effect_bundles_localised_title_vik_politics_campaign_movement	Campaign Movement	true
effect_bundles_localised_description_vik_stance_forced_march	Increases this army's campaign map marching range.	true
effect_bundles_localised_title_vik_faction_trait_sudreyar_separatist	Sudreyar Separatists	true
effect_bundles_localised_title_vik_politics_po_pos	Public Order	true
effect_bundles_localised_title_vik_food_province_negative_new	Famine	true
effect_bundles_localised_description_vik_politics_research	Research rate has increased in your land due to recent political events.	true
effect_bundles_localised_description_vik_politics_incident_lose_own_region	It would appear that your investment has paid off - the kingdom is now a far safer place, if the attack comes from without at least…	true
effect_bundles_localised_title_vik_sea_king_expedition_trade_positive	Trade Mission Succeeded	true
