effect_bundles_tables	1
key	localised_description	localised_title	ui_icon	bundle_target
att_bundle_dummy	"The Senate and the People of Rome"	SPQR	faction_leader_positive.png	faction
att_payload_food_province	The gods of the forest will ensure our hunters are successful.	A Bountiful Hunt	food_positive.png	province
debug_anti_religion_conversion	not for display | debug_anti_religion_conversion	debug_anti_religion_conversion	public_order_neutral.png	region
fame_1	Your power is of little consequence to the world...yet!	Fame: Insignificant	fame_1.png	faction
fame_2	Your have estabilished yourself as a worthy power.	Fame: Noteworthy	fame_2.png	faction
fame_3	Word of your achievements has travelled far.	Fame: Impressive	fame_3.png	faction
fame_4	Your accomplishments are great.	Fame: Inspiring	fame_4.png	faction
fame_5	Your power is both feared and coveted.	Fame: Intimidating	fame_5.png	faction
fame_6	The world trembles before you.	Fame: Terrifying	fame_6.png	faction
fame_7	Your power is supreme.	Fame: Supreme	fame_7.png	faction
vik_additional_upkeep	[HIDDEN] Player only effect bundle that increases factionwide upkeep by 2% for each additional army	[HIDDEN]	 	force
vik_bankruptcy	Your faction has run out of money; your people and armies will suffer as a result.	Bankruptcy	wealth_negative.png	faction
vik_brutish_trait_agricultural_estates	[PH]	[PH]	faction_leader.png	faction
vik_brutish_trait_noble_estates	[PH]	[PH]	faction_leader.png	faction
vik_brutish_trait_religious_estates	[PH]	[PH]	faction_leader.png	faction
vik_burghal_0_0	The people expect taxes to be lower when there are no threats to the kingdom.\n\nThe burghal level can be changed by adjusting the tax level in the economy screen. Public order effects change if you are at peace, have a distant war, or have a war against an adjacent faction. New effects are applied at the start of your turn.	Burghal - Peace	burghal.png	faction
vik_burghal_0_1	We are at war! The people will be more willing to contribute taxes towards an ongoing conflict.\n\nThe burghal level can be changed by adjusting the tax level in the economy screen. Public order effects change if you are at peace, have a distant war, or have a war against an adjacent faction. New effects are applied at the start of your turn.	Burghal - Distant War	burghal.png	faction
vik_burghal_0_2	War has reached our borders! The entire wealth of the kingdom should be committed to the military!\n\nThe burghal level can be changed by adjusting the tax level in the economy screen. Public order effects change if you are at peace, have a distant war, or have a war against an adjacent faction. New effects are applied at the start of your turn.	Burghal - Border War	burghal.png	faction
vik_burghal_1_0	The people expect taxes to be lower when there are no threats to the kingdom.\n\nThe burghal level can be changed by adjusting the tax level in the economy screen. Public order effects change if you are at peace, have a distant war, or have a war against an adjacent faction. New effects are applied at the start of your turn.	Burghal - Peace	burghal.png	faction
vik_burghal_1_1	We are at war! The people will be more willing to contribute taxes towards an ongoing conflict.\n\nThe burghal level can be changed by adjusting the tax level in the economy screen. Public order effects change if you are at peace, have a distant war, or have a war against an adjacent faction. New effects are applied at the start of your turn.	Burghal - Distant War	burghal.png	faction
vik_burghal_1_2	War has reached our borders! The entire wealth of the kingdom should be committed to the military!\n\nThe burghal level can be changed by adjusting the tax level in the economy screen. Public order effects change if you are at peace, have a distant war, or have a war against an adjacent faction. New effects are applied at the start of your turn.	Burghal - Border War	burghal.png	faction
vik_burghal_2_0	The people expect taxes to be lower when there are no threats to the kingdom.\n\nThe burghal level can be changed by adjusting the tax level in the economy screen. Public order effects change if you are at peace, have a distant war, or have a war against an adjacent faction. New effects are applied at the start of your turn.	Burghal - Peace	burghal.png	faction
vik_burghal_2_1	We are at war! The people will be more willing to contribute taxes towards an ongoing conflict.\n\nThe burghal level can be changed by adjusting the tax level in the economy screen. Public order effects change if you are at peace, have a distant war, or have a war against an adjacent faction. New effects are applied at the start of your turn.	Burghal - Distant War	burghal.png	faction
vik_burghal_2_2	War has reached our borders! The entire wealth of the kingdom should be committed to the military!\n\nThe burghal level can be changed by adjusting the tax level in the economy screen. Public order effects change if you are at peace, have a distant war, or have a war against an adjacent faction. New effects are applied at the start of your turn.	Burghal - Border War	burghal.png	faction
vik_burghal_3_0	The people expect taxes to be lower when there are no threats to the kingdom.\n\nThe burghal level can be changed by adjusting the tax level in the economy screen. Public order effects change if you are at peace, have a distant war, or have a war against an adjacent faction. New effects are applied at the start of your turn.	Burghal - Peace	burghal.png	faction
vik_burghal_3_1	We are at war! The people will be more willing to contribute taxes towards an ongoing conflict.\n\nThe burghal level can be changed by adjusting the tax level in the economy screen. Public order effects change if you are at peace, have a distant war, or have a war against an adjacent faction. New effects are applied at the start of your turn.	Burghal - Distant War	burghal.png	faction
vik_burghal_3_2	War has reached our borders! The entire wealth of the kingdom should be committed to the military!\n\nThe burghal level can be changed by adjusting the tax level in the economy screen. Public order effects change if you are at peace, have a distant war, or have a war against an adjacent faction. New effects are applied at the start of your turn.	Burghal - Border War	burghal.png	faction
vik_burghal_4_0	The people expect taxes to be lower when there are no threats to the kingdom.\n\nThe burghal level can be changed by adjusting the tax level in the economy screen. Public order effects change if you are at peace, have a distant war, or have a war against an adjacent faction. New effects are applied at the start of your turn.	Burghal - Peace	burghal.png	faction
vik_burghal_4_1	We are at war! The people will be more willing to contribute taxes towards an ongoing conflict.\n\nThe burghal level can be changed by adjusting the tax level in the economy screen. Public order effects change if you are at peace, have a distant war, or have a war against an adjacent faction. New effects are applied at the start of your turn.	Burghal - Distant War	burghal.png	faction
vik_burghal_4_2	War has reached our borders! The entire wealth of the kingdom should be committed to the military!\n\nThe burghal level can be changed by adjusting the tax level in the economy screen. Public order effects change if you are at peace, have a distant war, or have a war against an adjacent faction. New effects are applied at the start of your turn.	Burghal - Border War	burghal.png	faction
vik_circenn_destiny_stone_found	The return of the Stone of Destiny to its rightful owner increases your influence and, therefore, loyalty to your rule. Income from churches increases also as a result.	Stone of Destiny Found!	faction_leader.png	faction
vik_civil_war_effects	Civil war has broken out - usurpers seek to overthrow the crown!	Civil War	civil_war.png	faction
vik_cowardly_trait_agricultural_estates	[PH]	[PH]	faction_leader.png	faction
vik_cowardly_trait_noble_estates	[PH]	[PH]	faction_leader.png	faction
vik_cowardly_trait_religious_estates	[PH]	[PH]	faction_leader.png	faction
vik_decree_civic_support	This decree has boosted our naval power considerably and secured the sea trade on which we rely.	Decree - Kings of the Sea	decrees.png	faction
vik_decree_civic_support_here_king	This decree has enabled us to quickly shore-up both our physical position and our diplomatic standing amongst our allies.	Decree - Great Viking Lands	decrees.png	faction
vik_decree_compose_poem	This glorious verse has raised our people up, boosting our unity and courage to strive ever onward towards a truly united Wales.	Decree - An Epic Verse	decrees.png	faction
vik_decree_compose_poem_2	This glorious verse has raised our people up, boosting our unity and courage to strive ever onward towards a truly united Wales.	Decree - An Epic Verse	decrees.png	faction
vik_decree_construction_effort	This decree has enabled us to maintain our road system, helping the kingdom to function and our armies to swiftly act should invaders come calling.	Decree - The Anglo-Saxon Kingdom	decrees.png	faction
vik_decree_encourage_scholars	This decree has given us advantage, unseen at first, but now our advanced research will put us clearly ahead of our rivals.	Decree - Gather Venerable Scholars	decrees.png	faction
vik_decree_give_to_church	This decree has ensured that our hoards are well spent, as more churches and abbeys can only benefit the kingdom.	Decree - A Generous Donation	decrees.png	faction
vik_decree_give_to_nobles	This decree has ensured that our hoards are well spent, improving the loyalty of those who govern locally so that we may safely attend to national matters.	Decree - Our Futures Secured	decrees.png	faction
vik_decree_give_to_people	This decree has ensured that our hoards are well spent, with improved public order and allegiance across the kingdom as people see that their interests are protected.	Decree - The People's Prince	decrees.png	faction
vik_decree_give_to_soldiers	This decree has ensured that improvements to the military have occurred, pleasing both our soldiers and the people they must protect.	Decree - The People's Army	decrees.png	faction
vik_decree_hold_games	This decree has strengthened our position across the kingdom - grateful contentment has followed a wave of hope.	Decree - Fair of Tailtiu	decrees.png	faction
vik_decree_honour_church	This decree has undoubtedly improved our standing in the Lord's eyes, for he rewards us with knowledge for our advancement.	Decree - Honour His Holy Church	decrees.png	faction
vik_decree_honour_dead	This decree has brought contentment - the people are pleased that their revered ancestors have not been forgotten.	Decree - Spirits of the Dead	decrees.png	faction
vik_decree_honour_nobles	This decree has improved the loyalty of our nobles, as such security at home improves our standing abroad tenfold.	Decree - Noble by Nature	decrees.png	faction
vik_decree_honour_troops	This decree has ensured that improvements to the military have occurred, pleasing both our soldiers and the people they must protect.	Decree - Honour the Troops	decrees.png	faction
vik_decree_infrastructure	This decree has sped up construction projects of all kinds right across the kingdom, that we may advance further than our rivals in all areas.	Decree - Infrastructure Improved	decrees.png	faction
vik_decree_lower_taxes	This decree has softened the blow of high taxation, exchanging payment in gold for the payment in kind of future goodwill.	Decree - Relieve the Tithed	decrees.png	faction
vik_decree_new_laws	This decree has improved the loyalty and allegiance of our subjects for the benefit of the entire kingdom.	Decree - New Laws Enacted	decrees.png	faction
vik_decree_new_laws_fair	This decree, ratified by the Witan, has improved the loyalty and allegiance of our subjects for the benefit of the entire kingdom.	Decree - New Laws Enacted	decrees.png	faction
vik_decree_new_laws_witan	This decree has improved the loyalty and allegiance of our subjects for the benefit of the entire kingdom.	Decree - New Laws Enacted	decrees.png	faction
vik_decree_send_expedition	Our fleets are currently exploring new lands far from Britannia. It will not be long before they return with great riches and plunder!	Decree - Expedition Dispatched	cult_sea_kings_expedition.png	faction
vik_decree_send_expedition_dummy	UNSEEN - DO NOT LOC	UNSEEN - DO NOT LOC	cult_sea_kings_expedition.png	faction
vik_decree_supplies_for_army	This decree has ensured that our armies have all the supplies - and fresh recruits - they need whilst campaigning across our territory.	Decree - An Army Supplied	decrees.png	faction
vik_decree_supplies_for_army_here_king	This decree has ensured that our armies are content, with all the supplies - and fresh recruits - they need to campaign on home soil.	Decree - A Well-fed Force	decrees.png	faction
vik_decree_support_church	This decree has secured our links to Mother Church, that we may proceed in His image for His undoubted glory!	Decree - Embrace the Church	decrees.png	faction
vik_disaster_fire	This settlement is recovering from a recent fire. Restoration efforts are underway, but the people live in despair at the event.	Great Fire	disaster.png	region
vik_disaster_floods	This settlement is recovering from recent flooding. Restoration efforts are underway, but the people live in despair at the event.	Flooding	disaster.png	region
vik_dyflin_brega_peace	The native population are resistant to the sudden change in leadership. They will come to accept their fate with time...	Unhappy Populace	public_order_negative.png	faction
vik_dyflin_brega_war	Our people have displaced the local population and are pleased at our successful warmongering!	Populace Enthralled!	public_order_positive.png	faction
vik_dyflin_slaves_0	There can be no tyrants where there are no slaves, and there's good money to be made from selling flesh!	Slave Trade	cult_dyflin_slaves.png	faction
vik_dyflin_slaves_1	There can be no tyrants where there are no slaves, and there's good money to be made from selling flesh!\n\nGain slaves by winning battles and raiding, sacking or occupying settlements.	Slave Trade	cult_dyflin_slaves.png	faction
vik_dyflin_slaves_10	There can be no tyrants where there are no slaves, and there's good money to be made from selling flesh!\n\nGain slaves by winning battles and raiding, sacking or occupying settlements.	Slave Trade	cult_dyflin_slaves.png	faction
vik_dyflin_slaves_11	There can be no tyrants where there are no slaves, and there's good money to be made from selling flesh!\n\nGain slaves by winning battles and raiding, sacking or occupying settlements.	Slave Trade	cult_dyflin_slaves.png	faction
vik_dyflin_slaves_12	There can be no tyrants where there are no slaves, and there's good money to be made from selling flesh!\n\nGain slaves by winning battles and raiding, sacking or occupying settlements.	Slave Trade	cult_dyflin_slaves.png	faction
vik_dyflin_slaves_13	There can be no tyrants where there are no slaves, and there's good money to be made from selling flesh!\n\nGain slaves by winning battles and raiding, sacking or occupying settlements.	Slave Trade	cult_dyflin_slaves.png	faction
vik_dyflin_slaves_14	There can be no tyrants where there are no slaves, and there's good money to be made from selling flesh!\n\nGain slaves by winning battles and raiding, sacking or occupying settlements.	Slave Trade	cult_dyflin_slaves.png	faction
vik_dyflin_slaves_15	There can be no tyrants where there are no slaves, and there's good money to be made from selling flesh!\n\nGain slaves by winning battles and raiding, sacking or occupying settlements.	Slave Trade	cult_dyflin_slaves.png	faction
vik_dyflin_slaves_16	There can be no tyrants where there are no slaves, and there's good money to be made from selling flesh!	Slave Trade	cult_dyflin_slaves.png	faction
vik_dyflin_slaves_2	There can be no tyrants where there are no slaves, and there's good money to be made from selling flesh!\n\nGain slaves by winning battles and raiding, sacking or occupying settlements.	Slave Trade	cult_dyflin_slaves.png	faction
vik_dyflin_slaves_3	There can be no tyrants where there are no slaves, and there's good money to be made from selling flesh!\n\nGain slaves by winning battles and raiding, sacking or occupying settlements.	Slave Trade	cult_dyflin_slaves.png	faction
vik_dyflin_slaves_4	There can be no tyrants where there are no slaves, and there's good money to be made from selling flesh!\n\nGain slaves by winning battles and raiding, sacking or occupying settlements.	Slave Trade	cult_dyflin_slaves.png	faction
vik_dyflin_slaves_5	There can be no tyrants where there are no slaves, and there's good money to be made from selling flesh!\n\nGain slaves by winning battles and raiding, sacking or occupying settlements.	Slave Trade	cult_dyflin_slaves.png	faction
vik_dyflin_slaves_6	There can be no tyrants where there are no slaves, and there's good money to be made from selling flesh!\n\nGain slaves by winning battles and raiding, sacking or occupying settlements.	Slave Trade	cult_dyflin_slaves.png	faction
vik_dyflin_slaves_7	There can be no tyrants where there are no slaves, and there's good money to be made from selling flesh!\n\nGain slaves by winning battles and raiding, sacking or occupying settlements.	Slave Trade	cult_dyflin_slaves.png	faction
vik_dyflin_slaves_8	There can be no tyrants where there are no slaves, and there's good money to be made from selling flesh!\n\nGain slaves by winning battles and raiding, sacking or occupying settlements.	Slave Trade	cult_dyflin_slaves.png	faction
vik_dyflin_slaves_9	There can be no tyrants where there are no slaves, and there's good money to be made from selling flesh!\n\nGain slaves by winning battles and raiding, sacking or occupying settlements.	Slave Trade	cult_dyflin_slaves.png	faction
vik_edict_armed_patrols	Test!	Armed Patrols	disaster.png	province
vik_english_peasant_negative	The Devil makes work for idle hands! There are too many untrustworthy, levied cravens in your armies.	Fyrd	cult_english_fyrd_negative.png	faction
vik_english_peasant_positive	Your armies contain just the right number of levy units to absorb the enemy's arrows!\n\nCan recruit levy units based on the number of owned settlements.	Fyrd	cult_english_fyrd.png	faction
vik_estate_desire_reward_campaign_movement	In return for granting them land, a noble has used their resources for our gain.	Estate Desire Reward	campaign_movement.png	faction
vik_estate_desire_reward_construction_agriculture	In return for granting them land, a noble has used their resources for our gain.	Estate Desire Reward	construction_positive.png	faction
vik_estate_desire_reward_construction_great_hall	In return for granting them land, a noble has used their resources for our gain.	Estate Desire Reward	construction_positive.png	faction
vik_estate_desire_reward_construction_industry	In return for granting them land, a noble has used their resources for our gain.	Estate Desire Reward	construction_positive.png	faction
vik_estate_desire_reward_construction_market	In return for granting them land, a noble has used their resources for our gain.	Estate Desire Reward	construction_positive.png	faction
vik_estate_desire_reward_construction_monastery_church	In return for granting them land, a noble has used their resources for our gain.	Estate Desire Reward	construction_positive.png	faction
vik_estate_desire_reward_income_church	In return for granting them land, a noble has used their resources for our gain.	Estate Desire Reward	income.png	faction
vik_estate_desire_reward_income_commerce	In return for granting them land, a noble has used their resources for our gain.	Estate Desire Reward	income.png	faction
vik_estate_desire_reward_income_farm	In return for granting them land, a noble has used their resources for our gain.	Estate Desire Reward	income.png	faction
vik_estate_desire_reward_income_industry	In return for granting them land, a noble has used their resources for our gain.	Estate Desire Reward	income.png	faction
vik_estate_desire_reward_morale	In return for granting them land, a noble has used their resources for our gain.	Estate Desire Reward	morale.png	faction
vik_estate_desire_reward_public_order	In return for granting them land, a noble has used their resources for our gain.	Estate Desire Reward	public_order_positive.png	faction
vik_estate_desire_reward_replenishment_rate	In return for granting them land, a noble has used their resources for our gain.	Estate Desire Reward	replenishment.png	faction
vik_estate_desire_reward_research	In return for granting them land, a noble has used their resources for our gain.	Estate Desire Reward	technology.png	faction
vik_estate_desire_reward_supplies	In return for granting them land, a noble has used their resources for our gain.	Estate Desire Reward	army_morale_positive.png	faction
vik_estate_effects_test_bundle	Shest, shest!	Test Bundle for Estate Effects	faction_leader.png	faction
vik_expedition	When the time is right, an expedition can set sail to further your faction’s trade, influence and territorial designs.	Expedition	cult_sea_kings_expedition.png	faction
vik_faction_allegiance_religious_estate	Bonus to Faction Allegiance from the king holding Religious Estates.	Religious Estate Owner	allegiance.png	character
vik_faction_leader_agricultural_estates	WIP DESCRIPTION	Food from Estates	faction_leader.png	faction
vik_faction_leader_noble_estates	WIP DESCRIPTION	Taxes from Estates	faction_leader.png	faction
vik_faction_leader_religious_estates	WIP DESCRIPTION	Allegiance from Estates	faction_leader.png	faction
vik_faction_trait_caisil	Caisil get the following bonuses:	Caisil	trait_caisil.png	faction
