Loc PackedFile
Key	Text	Tooltip
loyalty_factors_localised_positive_name_estate_owner_holdings	Noble Estate	true
loyalty_factors_localised_negative_name_estate_desire_more_than_everybody_but_faction_leader	Desires more Estates than another non-king character	true
loyalty_factors_localised_negative_name_estate_owner_holdings	Noble Estate	true
loyalty_factors_localised_negative_name_estates_low	Estates low	true
loyalty_factors_localised_positive_name_estate_desires_more_estates_than_younger_characters	Desires more Estates than a younger character	true
loyalty_factors_localised_negative_name_estate_desires_more_than_lower_authority_characters	Desires more Estates than a lower Command character	true
loyalty_factors_localised_positive_name_estates_low	Estates low	true
loyalty_factors_localised_negative_name_estate_desires_more_estates_than_younger_characters	Desires more Estates than a younger character	true
loyalty_factors_localised_positive_name_estate_desires_more_than_lower_authority_characters	Desires more Estates than a lower-Command character	true
loyalty_factors_localised_positive_name_estate_desire_more_than_everybody_but_faction_leader	Desires more Estates than another non-king character	true
loyalty_factors_localised_negative_name_estate_desire_agricultural	Wants a new Minor Estate	true
loyalty_factors_localised_positive_name_estate_aversion_agricultural	Has a Minor Estate	true
loyalty_factors_localised_negative_name_estate_desires_more_than_lower_subterfuge_characters	Desires more Estates than a lower Governance character	true
loyalty_factors_localised_positive_name_estate_desire_agricultural	Wants to have an Minor Estate	true
loyalty_factors_localised_positive_name_estate_desires_more_than_lower_subterfuge_characters	Desires more Estates than a lower-Governance character	true
loyalty_factors_localised_negative_name_estate_aversion_agricultural	Has a Minor Estate	true
loyalty_factors_localised_negative_name_estate_desire_more_than_faction_leader	Desires more Estates than the Faction Leader	true
loyalty_factors_localised_positive_name_estate_desire_holdings	Wants a new Noble Estate	true
loyalty_factors_localised_negative_name_estate_desire_more_than_generals_and_governors	Desires more Estates than another General or Governor	true
loyalty_factors_localised_positive_name_estate_desire_more_estates_than_lower_gravitas_characters	Desires more Estates than a lower-Influence character	true
loyalty_factors_localised_positive_name_estate_aversion_religious	Has a Grand Estate	true
loyalty_factors_localised_positive_name_estate_desire_religious	Wants to have a Grand Estate	true
loyalty_factors_localised_negative_name_estate_desire_more_estates_than_lower_level_characters	Desires more Estates than a lower Rank character	true
loyalty_factors_localised_negative_name_estate_desire_more_estates_than_lower_gravitas_characters	Desires more Estates than a lower Influence character	true
loyalty_factors_localised_negative_name_estate_aversion_religious	Has a Grand Estate	true
loyalty_factors_localised_negative_name_estate_aversion_holdings	Has a Noble Estate	true
loyalty_factors_localised_negative_name_estate_desire_religious	Wants to have a Grand Estate	true
loyalty_factors_localised_positive_name_estate_desire_more_than_generals_and_governors	Desires more Estates than another General or Governor	true
loyalty_factors_localised_positive_name_estate_aversion_holdings	Has a Noble Estate	true
loyalty_factors_localised_positive_name_estate_desire_more_than_faction_leader	Desires more Estates than the Faction Leader	true
loyalty_factors_localised_negative_name_estate_desire_holdings	Wants a new Noble Estate	true
loyalty_factors_localised_positive_name_estate_desire_more_estates_than_lower_level_characters	Desires more Estates than a lower-Rank character	true
loyalty_factors_localised_negative_name_estate_desire_any	Wants an Estate	true
loyalty_factors_localised_negative_name_estate_owner_religious	Grand Estate	true
loyalty_factors_localised_positive_name_estate_desire_any	Wants an Estate	true
loyalty_factors_localised_negative_name_estate_desires_no_estates	Does not want Estates	true
loyalty_factors_localised_positive_name_estate_owner_agricultural	Minor Estate	true
loyalty_factors_localised_negative_name_estate_desires_less_estates_than_faction_leader	Desires less Estates than the Faction Leader	true
loyalty_factors_localised_positive_name_estate_desires_no_estates	Does not want Estates	true
loyalty_factors_localised_positive_name_estate_desires_less_estates_than_faction_leader	Desires less Estates than the Faction Leader	true
loyalty_factors_localised_positive_name_estate_owner_religious	Grand Estate	true
loyalty_factors_localised_negative_name_estate_owner_agricultural	Minor Estate	true
