Loc PackedFile
Key	Text	Tooltip
advice_levels_onscreen_text_40000	Aberffro was the capital of the Kingdom of Gwynedd from AD 860 until AD 1170. The Royal estates of the Princes of Aberffro were governed from the Llys, or the Royal court, and as Aberffro was the central one, so the palace grew. It was from it that the officials of the princes court sallied forth to gather taxes and rent from the surrounding commotes. In the 10th century, Rhodri the Great had inherited Gwynedd from his father and Powys from his mother, and he added Seisyllwg by a dynastic marriage to Angharad of Seisyllwg. Rhodri's influence in the rest of Wales was significant, and he left a lasting legacy.	true
advice_levels_onscreen_text_40001	Aberteifi was selected at a very early period as an eligible site for commerce given its maritime accessibility with distant parts of the kingdom. The Welsh name Aberteifi (later known as "Ceredig's land") refers to its position by the mouth (aber) of the River Teifi. Ceredig was supposedly one of the sons of Cunedda Wledig, who Welsh legend records invaded from the north to recover lands in Roman Britain from invading Irishmen around early AD 400. Little is known either of its original foundation or of its primitive inhabitants. There are no records of its history prior to the conquest of this part of the country by the Normans.	true
advice_levels_onscreen_text_40002	Achadh Bo contains a large number of Early Christian farmsteads, known as ringforts. Achadh Bo Abbey was founded in the sixth century by St. Canice. The abbey grew into a major centre of learning, commerce and agriculture. It was plundered by the Vikings in 913 and rebuilt in 1052 with relics of St Canice enshrined. It was again burned in 1116 and rebuilt in 1189.	true
advice_levels_onscreen_text_40003	This area is known as the Isle of Aethelingaeg because it was once a very low isolated island in the very great swampy and impassable marshes of the Somersaete Levels. It was to these remote islands that Alfred came in AD 877 to escape from the Danes who threatened to overrun his kingdom. Alfred stayed at Aethelingaeg from the autumn of 877 until the spring of 878 when he had a fortress built. Here Alfred reorganized his forces and prepared to launch an offensive that culminated in his pivotal victory at the Battle of Edington About a decade later, around AD 888 Alfred founded a monastery at Aethelingaeg beside the earlier fort which was dedicated to Our Blessed Saviour, St Peter, St Paul and St Athelwine and was meant to commemorate his victory and give thanks to God.	true
advice_levels_onscreen_text_40004	Inber Nise was one of the chief strongholds of the Picts, and in CE 565 was visited by St Columba with the intention of converting the Pictish king Brude, who is supposed to have resided in the vitrified fort on Craig Phadrig, on the western edge of the city. The strategic location of Inber Nise has led to many conflicts in the area. Reputedly there was a battle in the early 11th century between King Malcolm and Thorfinn of Norway at Blar Nam Feinne, to the southwest of the city.	true
advice_levels_onscreen_text_40005	Ard Macha means "Macha's height" and began as a Ulaid pagan ritual site to the goddess Macha. Macha is associated with the land, fertility, kingship, war and horses. After Christianity spread to Ireland, the pagan sanctuary was converted into a Christian one, and Ard Macha became the site of an important church and monastery. According to tradition, Saint Patrick founded his main church there in the year 457, and it eventually became the "ecclesiastical capital" of Ireland. Saint Patrick was said to have decreed that only those educated in Ard Macha could spread the gospel. In 839 and 869, the monastery in Ard Macha was raided by Vikings. As with similar raids, their goal was to acquire valuables such as silver, which could often be found in churches and monasteries.	true
advice_levels_onscreen_text_40006	The village of Bebbanburg was the seat of the Northumbrian Kingdom for several hundred years. It is dominated by its great sandstone castle which stands on a massive whin sill outcrop, overlooking a beautiful beach and the Farne Islands out at sea. One of the most powerful Northumbrian kings associated with Bebbanburg was King Oswald (AD634-642), a pagan, who converted to Christianity and appointed St Aidan as the first bishop of nearby Lindisfarne, making this north eastern corner of Northumbria an important focal point for early Christian cultural developments. Archaeological excavations at an Anglo-Saxon cemetery just outside Bamburgh Castle have revealed that the Northumbrian capital at Bamburgh was a cosmopolitan community during the time of King Oswald. Dominance of Anglo-Saxon power in the area came to an end when the Vikings conquered Eoferwic in 866. The castle atop the hill was completely destroyed by the Vikings in AD 993.	true
advice_levels_onscreen_text_40007	It is believed that Vikings came to Blascona late in the 8th century. It is not known whether Vikings came as "landtakers", dispossessing indigenous Pict peoples, or whether Viking farmers settled peacefully among the natives of Blascona or some of both. In any case, it appears that the Norse immigrants soon assumed dominance over any communities there. In time, Blascona came to be ruled by jarls established by royal authority from Norway. The raiders used Blascona as a base of operations from which to carry out aggressive raids against the coasts of Scotland as well as their own Norwegian kin.  Harold Hårfagre ("Fair Hair") subdued the rovers in 875 and annexed both Blascona to Norway.	true
advice_levels_onscreen_text_40008	In the 9th century, Vikings invaded Bòrnais and the gaelic kingdom of Dál Riata to the south, and established the Kingdom of the Isles throughout these lands. Following Norwegian unification, the Kingdom of the Isles became a crown dependency of the Norwegian king; to the Norwegians it was Suðreyjar (meaning southern isles). Malcolm III of Scotland acknowledged in writing that Suðreyjar was not Scottish, and king Edgar quitclaimed any residual doubts. At Kilpheder, the roundhouses were abandoned in favour of Norse longhouses; at Bornish, a few miles to the north, a more substantial Norse settlement was built. As indicated by archaeological finds, residents had access to a wide trading network, stretching throughout the Norwegian empire, as well as adjacent lands like Ireland.	true
advice_levels_onscreen_text_40009	Cair Gwent was at the center of a Welsh kingdom (Guent) between the Rivers Wye and Usk. It was founded by the Romans in AD 75 as Venta Silurum, a market town for the defeated Silures tribe. Some historians hypothesize that Cair Gwent is the Welsh name for Camelot. Thomas Malory wrote that twelve of Arthur's defeated enemies were buried in St. Stephen's church in Camelot, also recording that Arthur and Guinevere were married in this same church. While other historians argue Malory could have confused Caerwent with Caerwynt (the Welsh name for Winchester), it's notable that there exists a known St. Stephen's church in Cair Gwent but not in Winchester.	true
