building_effects_junction_tables	3
building	effect	effect_scope	value	value_damaged	value_ruined
vik_achad_bo_1	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_achad_bo_2	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_achad_bo_3	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_achad_bo_4	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_achad_bo_5	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_st_ciaran_1	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_st_ciaran_2	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_st_ciaran_3	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_st_ciaran_4	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_st_ciaran_5	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_st_columbe_1	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_st_columbe_2	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_st_columbe_3	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_st_columbe_4	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_st_columbe_5	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_st_patraic_1	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_st_patraic_2	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_st_patraic_3	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_st_patraic_4	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_st_patraic_5	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_mountain_hall_1	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_mountain_hall_2	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_mountain_hall_3	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_mountain_hall_4	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_mountain_hall_5	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_monastery_1	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_monastery_2	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_monastery_3	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_monastery_4	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_monastery_5	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_grianan_ailech_1	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_grianan_ailech_2	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_grianan_ailech_3	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_grianan_ailech_4	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_grianan_ailech_5	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_great_hall_1	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_great_hall_2	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_great_hall_3	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_great_hall_4	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_great_hall_5	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_longphort_1	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_longphort_2	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_longphort_3	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_longphort_4	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_longphort_5	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_market_1	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_market_2	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_market_3	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_market_4	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_market_5	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_offas_hall_1	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_offas_hall_2	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_offas_hall_3	vik_walls_8m_hidden	region_to_region_own	1	1	1
vik_offas_hall_4	vik_walls_8m_hidden	region_to_region_own	1	1	1
