building_effects_junction_tables	3
building	effect	effect_scope	value	value_damaged	value_ruined
vik_achad_bo_1	shield_scripted_household_growth	building_to_building_own	3	3	0
vik_achad_bo_2	shield_scripted_household_growth	building_to_building_own	5	5	0
vik_achad_bo_3	shield_scripted_household_growth	building_to_building_own	7	7	0
vik_achad_bo_4	shield_scripted_household_growth	building_to_building_own	9	9	0
vik_achad_bo_5	shield_scripted_household_growth	building_to_building_own	12	12	0
vik_st_ciaran_1	shield_scripted_household_growth	building_to_building_own	3	3	0
vik_st_ciaran_2	shield_scripted_household_growth	building_to_building_own	5	5	0
vik_st_ciaran_3	shield_scripted_household_growth	building_to_building_own	7	7	0
vik_st_ciaran_4	shield_scripted_household_growth	building_to_building_own	9	9	0
vik_st_ciaran_5	shield_scripted_household_growth	building_to_building_own	12	12	0
vik_st_columbe_1	shield_scripted_household_growth	building_to_building_own	3	3	0
vik_st_columbe_2	shield_scripted_household_growth	building_to_building_own	5	5	0
vik_st_columbe_3	shield_scripted_household_growth	building_to_building_own	7	7	0
vik_st_columbe_4	shield_scripted_household_growth	building_to_building_own	9	9	0
vik_st_columbe_5	shield_scripted_household_growth	building_to_building_own	12	12	0
vik_st_patraic_1	shield_scripted_household_growth	building_to_building_own	3	3	0
vik_st_patraic_2	shield_scripted_household_growth	building_to_building_own	5	5	0
vik_st_patraic_3	shield_scripted_household_growth	building_to_building_own	7	7	0
vik_st_patraic_4	shield_scripted_household_growth	building_to_building_own	9	9	0
vik_st_patraic_5	shield_scripted_household_growth	building_to_building_own	12	12	0
vik_mountain_hall_1	shield_scripted_household_growth	building_to_building_own	3	3	0
vik_mountain_hall_2	shield_scripted_household_growth	building_to_building_own	5	5	0
vik_mountain_hall_3	shield_scripted_household_growth	building_to_building_own	7	7	0
vik_mountain_hall_4	shield_scripted_household_growth	building_to_building_own	9	9	0
vik_mountain_hall_5	shield_scripted_household_growth	building_to_building_own	12	12	0
vik_monastery_1	shield_scripted_household_growth	building_to_building_own	2	2	0
vik_monastery_2	shield_scripted_household_growth	building_to_building_own	4	4	0
vik_monastery_3	shield_scripted_household_growth	building_to_building_own	6	6	0
vik_monastery_4	shield_scripted_household_growth	building_to_building_own	8	8	0
vik_monastery_5	shield_scripted_household_growth	building_to_building_own	10	10	0
vik_grianan_ailech_1	shield_scripted_household_growth	building_to_building_own	3	3	0
vik_grianan_ailech_2	shield_scripted_household_growth	building_to_building_own	5	5	0
vik_grianan_ailech_3	shield_scripted_household_growth	building_to_building_own	7	7	0
vik_grianan_ailech_4	shield_scripted_household_growth	building_to_building_own	9	9	0
vik_grianan_ailech_5	shield_scripted_household_growth	building_to_building_own	12	12	0
vik_great_hall_1	shield_scripted_household_growth	building_to_building_own	2	2	0
vik_great_hall_2	shield_scripted_household_growth	building_to_building_own	4	4	0
vik_great_hall_3	shield_scripted_household_growth	building_to_building_own	6	6	0
vik_great_hall_4	shield_scripted_household_growth	building_to_building_own	8	8	0
vik_great_hall_5	shield_scripted_household_growth	building_to_building_own	10	10	0
vik_longphort_1	shield_scripted_household_growth	building_to_building_own	2	2	0
vik_longphort_2	shield_scripted_household_growth	building_to_building_own	4	4	0
vik_longphort_3	shield_scripted_household_growth	building_to_building_own	6	6	0
vik_longphort_4	shield_scripted_household_growth	building_to_building_own	8	8	0
vik_longphort_5	shield_scripted_household_growth	building_to_building_own	10	10	0
