building_effects_junction_tables	3
building	effect	effect_scope	value	value_damaged	value_ruined
vik_library_1	vik_gdp_mod_church	province_to_region_own	-30	-30	0
vik_library_1	vik_fame	faction_to_faction_own_unseen	10	10	0
vik_library_1	vik_tech_points	faction_to_faction_own	15	15	0
vik_library_2	vik_gdp_mod_church	province_to_region_own	-50	-50	0
vik_library_2	vik_fame	faction_to_faction_own_unseen	20	20	0
vik_library_2	vik_tech_points	faction_to_faction_own	30	30	0
vik_library_3	vik_gdp_mod_church	province_to_region_own	-75	-75	0
vik_library_3	vik_fame	faction_to_faction_own_unseen	30	30	0
vik_library_3	vik_tech_points	faction_to_faction_own	75	75	0
vik_round_tower_1	vik_allegiance	province_to_region_own	1	1	0
vik_round_tower_1	vik_campaign_movement	province_to_army_own	8	0	0
vik_round_tower_1	vik_public_order_new_positive_buildings	province_to_region_own	1	1	0
vik_round_tower_2	vik_allegiance	province_to_region_own	1	1	0
vik_round_tower_2	vik_campaign_movement	province_to_army_own	12	0	0
vik_round_tower_2	vik_public_order_new_positive_buildings	province_to_region_own	2	2	0
vik_round_tower_3	vik_allegiance	faction_to_faction_own_unseen	2	2	0
vik_round_tower_3	vik_campaign_movement	province_to_army_own	18	0	0
vik_round_tower_3	vik_fame	faction_to_faction_own_unseen	10	10	0
vik_round_tower_3	vik_public_order_new_positive_buildings	province_to_region_own	2	2	0
vik_scribes_1	vik_food_consumption	region_to_region_own	5	5	0
vik_scribes_1	vik_building_corruption	province_to_province_own	-10	0	0
vik_scribes_2	vik_food_consumption	region_to_region_own	15	15	0
vik_scribes_2	vik_building_corruption	province_to_province_own	-10	0	0
vik_scribes_3	vik_food_consumption	region_to_region_own	20	20	0
vik_scribes_3	vik_building_corruption	province_to_province_own	-15	0	0
vik_bullaun_1	vik_public_order_new_positive_buildings	faction_to_region_own	1	1	0
vik_bullaun_2	vik_public_order_new_positive_buildings	faction_to_region_own	2	2	0
vik_bullaun_3	vik_fame	faction_to_faction_own_unseen	10	10	0
vik_bullaun_3	vik_public_order_new_positive_buildings	faction_to_region_own	4	4	0
vik_lead_1	vik_construction_cost_church	province_to_regions_own_in_adjacent_province	-5	-5	0
vik_lead_1	vik_construction_cost_church_hidden	region_to_region_own_provincewide	-5	-5	0
vik_lead_2	vik_construction_cost_church	province_to_regions_own_in_adjacent_province	-10	-10	0
vik_lead_2	vik_construction_cost_church_hidden	region_to_region_own_provincewide	-10	-10	0
vik_lead_3	vik_construction_cost_church	province_to_regions_own_in_adjacent_province	-15	-15	0
vik_lead_3	vik_construction_cost_church_hidden	region_to_region_own_provincewide	-15	-15	0
vik_church_crafts_1	vik_tech_points	faction_to_faction_own	-4	-4	0
vik_church_crafts_2	vik_tech_points	faction_to_faction_own	-8	-8	0
vik_church_crafts_3	vik_tech_points	faction_to_faction_own	-12	-12	0
vik_wax_1	shield_resource_candles_production	building_to_building_own	3	0	0
vik_wax_1	vik_public_order_new_positive_buildings	province_to_region_own	1	0	0
vik_wax_2	shield_resource_candles_production	building_to_building_own	6	3	0
vik_wax_2	vik_public_order_new_positive_buildings	province_to_region_own	1	0	0
vik_wax_3	shield_resource_candles_production	building_to_building_own	9	6	0
vik_wax_3	vik_public_order_new_positive_buildings	province_to_region_own	1	0	0
vik_tithe_hall_1	vik_food_production_mod_farms	region_to_region_own_provincewide	15	5	0
vik_tithe_hall_1	vik_gdp_mod_church	province_to_region_own	10	5	0
vik_tithe_hall_1	vik_public_order_new_negative_buildings	province_to_region_own	2	1	0
vik_tithe_hall_2	vik_food_production_mod_farms	region_to_region_own_provincewide	20	10	0
vik_tithe_hall_2	vik_gdp_mod_church	province_to_region_own	14	8	0
vik_tithe_hall_2	vik_public_order_new_negative_buildings	province_to_region_own	3	1	0
vik_tithe_hall_3	vik_food_production_mod_farms	region_to_region_own_provincewide	30	15	0
vik_tithe_hall_3	vik_gdp_mod_church	province_to_region_own	18	10	0
vik_tithe_hall_3	vik_public_order_new_negative_buildings	province_to_region_own	4	2	0
