building_effects_junction_tables	3
building	effect	effect_scope	value	value_damaged	value_ruined
vik_farm_1	vik_food_buildings	region_to_region_own	35	18	0
vik_farm_2	vik_food_buildings	region_to_region_own	50	25	0
vik_farm_3	vik_food_buildings	region_to_region_own	65	33	0
vik_farm_4	vik_food_buildings	region_to_region_own	80	40	0
vik_farm_5	vik_food_buildings	region_to_region_own	110	55	0
vik_farm_b_2	vik_food_buildings	region_to_region_own	45	23	0
vik_farm_b_3	vik_food_buildings	region_to_region_own	55	28	0
vik_farm_b_4	vik_food_buildings	region_to_region_own	70	35	0
vik_farm_b_5	vik_food_buildings	region_to_region_own	90	45	0
vik_hunting_1	vik_food_buildings	region_to_region_own	22	11	0
vik_hunting_2	vik_food_buildings	region_to_region_own	34	17	0
vik_hunting_3	vik_food_buildings	region_to_region_own	42	21	0
vik_hunting_4	vik_food_buildings	region_to_region_own	58	29	0
vik_hunting_5	vik_food_buildings	region_to_region_own	82	41	0
vik_hunting_b_2	vik_food_buildings	region_to_region_own	30	15	0
vik_hunting_b_3	vik_food_buildings	region_to_region_own	46	23	0
vik_hunting_b_4	vik_food_buildings	region_to_region_own	60	30	0
vik_hunting_b_5	vik_food_buildings	region_to_region_own	72	36	0
vik_orchard_1	vik_food_buildings	region_to_region_own	30	15	0
vik_orchard_2	vik_food_buildings	region_to_region_own	50	25	0
vik_orchard_3	vik_food_buildings	region_to_region_own	70	35	0
vik_orchard_4	vik_food_buildings	region_to_region_own	90	45	0
vik_orchard_5	vik_food_buildings	region_to_region_own	100	50	0
vik_orchard_b_2	vik_food_buildings	region_to_region_own	42	21	0
vik_orchard_b_3	vik_food_buildings	region_to_region_own	54	27	0
vik_orchard_b_4	vik_food_buildings	region_to_region_own	76	38	0
vik_orchard_b_5	vik_food_buildings	region_to_region_own	90	45	0
vik_pasture_1	vik_food_buildings	region_to_region_own	30	15	0
vik_pasture_2	vik_food_buildings	region_to_region_own	40	20	0
vik_pasture_3	vik_food_buildings	region_to_region_own	46	23	0
vik_pasture_4	vik_food_buildings	region_to_region_own	58	29	0
vik_pasture_5	vik_food_buildings	region_to_region_own	70	35	0
vik_pasture_b_2	vik_food_buildings	region_to_region_own	36	18	0
vik_pasture_b_3	vik_food_buildings	region_to_region_own	46	23	0
vik_pasture_b_4	vik_food_buildings	region_to_region_own	58	29	0
vik_pasture_b_5	vik_food_buildings	region_to_region_own	70	35	0
vik_wax_1	vik_food_buildings	region_to_region_own	22	11	0
vik_wax_2	vik_food_buildings	region_to_region_own	30	15	0
vik_wax_3	vik_food_buildings	region_to_region_own	42	21	0
vik_port_fish_1	vik_food_buildings	region_to_region_own	20	10	0
vik_port_fish_2	vik_food_buildings	region_to_region_own	25	13	0
vik_port_fish_3	vik_food_buildings	region_to_region_own	35	18	0
vik_port_herring_1	vik_food_buildings	region_to_region_own	35	18	0
vik_port_herring_2	vik_food_buildings	region_to_region_own	70	35	0
vik_port_herring_3	vik_food_buildings	region_to_region_own	110	55	0
vik_fishing_1	vik_food_buildings	region_to_region_own	16	8	0
vik_fishing_2	vik_food_buildings	region_to_region_own	32	16	0
vik_fishing_3	vik_food_buildings	region_to_region_own	48	24	0
vik_fishing_4	vik_food_buildings	region_to_region_own	60	30	0
vik_fishing_5	vik_food_buildings	region_to_region_own	76	38	0
vik_fishing_b_2	vik_food_buildings	region_to_region_own	16	8	0
vik_fishing_b_3	vik_food_buildings	region_to_region_own	16	8	0
vik_fishing_b_4	vik_food_buildings	region_to_region_own	16	8	0
vik_fishing_b_5	vik_food_buildings	region_to_region_own	16	8	0
