building_effects_junction_tables	3
building	effect	effect_scope	value	value_damaged	value_ruined
vik_estate_1	shield_scripted_pop_cap_lord	region_to_region_own	20	20	0
vik_estate_2	shield_scripted_pop_cap_lord	region_to_region_own	40	40	0
vik_estate_3	shield_scripted_pop_cap_lord	region_to_region_own	60	60	0
vik_arena_1	shield_scripted_pop_cap_foreign	region_to_region_own	60	60	0
vik_arena_2	shield_scripted_pop_cap_foreign	region_to_region_own	75	75	0
vik_arena_3	shield_scripted_pop_cap_foreign	region_to_region_own	90	90	0
vik_court_school_1	shield_scripted_pop_cap_monk	region_to_region_own	10	10	0
vik_court_school_2	shield_scripted_pop_cap_monk	region_to_region_own	16	16	0
vik_court_school_3	shield_scripted_pop_cap_monk	region_to_region_own	22	22	0
vik_port_fish_2	shield_scripted_pop_cap_foreign	region_to_region_own	30	30	0
vik_port_fish_3	shield_scripted_pop_cap_foreign	region_to_region_own	60	60	0
vik_trade_1	shield_scripted_pop_cap_foreign	region_to_region_own	90	90	0
vik_trade_2	shield_scripted_pop_cap_foreign	region_to_region_own	140	140	0
vik_trade_3	shield_scripted_pop_cap_foreign	region_to_region_own	200	200	0
vik_fishing_3	shield_scripted_pop_cap_foreign	region_to_region_own	30	30	0
vik_fishing_4	shield_scripted_pop_cap_foreign	region_to_region_own	45	45	0
vik_fishing_5	shield_scripted_pop_cap_foreign	region_to_region_own	60	60	0
vik_fishing_b_2	shield_scripted_pop_cap_serf	region_to_region_own	20	20	0
vik_fishing_b_3	shield_scripted_pop_cap_serf	region_to_region_own	40	40	0
vik_fishing_b_4	shield_scripted_pop_cap_serf	region_to_region_own	60	60	0
vik_fishing_b_5	shield_scripted_pop_cap_serf	region_to_region_own	80	80	0
vik_alehouse_1	shield_scripted_pop_cap_foreign	region_to_region_own	30	30	0
vik_benedictine_abbey_1	shield_scripted_pop_cap_monk	region_to_region_own	8	8	0
vik_benedictine_abbey_2	shield_scripted_pop_cap_monk	region_to_region_own	20	20	0
vik_benedictine_abbey_b_2	shield_scripted_pop_cap_monk	region_to_region_own	10	10	0
vik_celi_de_abbey_1	shield_scripted_pop_cap_monk	region_to_region_own	8	8	0
vik_celi_de_abbey_2	shield_scripted_pop_cap_monk	region_to_region_own	20	20	0
vik_ceil_de_abbey_b_2	shield_scripted_pop_cap_monk	region_to_region_own	10	10	0
vik_abbey_1	shield_scripted_pop_cap_monk	region_to_region_own	8	8	0
vik_abbey_2	shield_scripted_pop_cap_monk	region_to_region_own	20	20	0
vik_abbey_b_2	shield_scripted_pop_cap_monk	region_to_region_own	10	10	0
vik_guildhall_1	shield_scripted_pop_cap_serf	region_to_region_own	120	120	0
vik_guildhall_2	shield_scripted_pop_cap_serf	region_to_region_own	240	240	0
vik_guildhall_3	shield_scripted_pop_cap_serf	region_to_region_own	360	360	0
vik_scoan_abbey_1	shield_scripted_pop_cap_monk	region_to_region_own	10	10	0
vik_scoan_abbey_2	shield_scripted_pop_cap_monk	region_to_region_own	20	20	0
vik_scoan_abbey_3	shield_scripted_pop_cap_monk	region_to_region_own	30	30	0
vik_st_brigit_1	shield_scripted_pop_cap_monk	region_to_region_own	20	20	0
vik_st_brigit_2	shield_scripted_pop_cap_monk	region_to_region_own	40	40	0
vik_st_brigit_3	shield_scripted_pop_cap_monk	region_to_region_own	60	60	0
vik_st_swithun_1	shield_scripted_pop_cap_monk	region_to_region_own	10	10	0
vik_st_swithun_2	shield_scripted_pop_cap_monk	region_to_region_own	20	20	0
vik_st_swithun_3	shield_scripted_pop_cap_monk	region_to_region_own	30	30	0
vik_konungsgurtha_1	shield_scripted_pop_cap_lord	region_to_region_own	20	20	0
vik_konungsgurtha_2	shield_scripted_pop_cap_lord	region_to_region_own	40	40	0
vik_konungsgurtha_3	shield_scripted_pop_cap_lord	region_to_region_own	60	40	0
vik_nunnaminster_1	shield_scripted_pop_cap_monk	region_to_region_own	20	20	0
