building_effects_junction_tables	3
building	effect	effect_scope	value	value_damaged	value_ruined
vik_scribes_1	shield_gdp_church	building_to_building_own	45	23	0
vik_scribes_2	shield_gdp_church	building_to_building_own	90	45	0
vik_scribes_3	shield_gdp_church	building_to_building_own	180	90	0
vik_wax_1	shield_gdp_church	building_to_building_own	20	10	0
vik_wax_2	shield_gdp_church	building_to_building_own	25	13	0
vik_wax_3	shield_gdp_church	building_to_building_own	30	15	0
vik_workshop_1	shield_gdp_industry	building_to_building_own	30	15	0
vik_workshop_2	shield_gdp_industry	building_to_building_own	40	20	0
vik_workshop_3	shield_gdp_industry	building_to_building_own	50	25	0
vik_tools_b_2	shield_gdp_industry	building_to_building_own	15	8	0
vik_tools_b_3	shield_gdp_industry	building_to_building_own	25	13	0
vik_craft_merchant_b_2	shield_gdp_industry	building_to_building_own	35	18	0
vik_craft_merchant_b_3	shield_gdp_industry	building_to_building_own	50	25	0
vik_market_fair_1	shield_gdp_commerce	building_to_building_own	40	20	0
vik_market_fair_2	shield_gdp_commerce	building_to_building_own	65	33	0
vik_market_fair_3	shield_gdp_commerce	building_to_building_own	90	45	0
vik_port_trade_1	shield_gdp_commerce	building_to_building_own	20	10	0
vik_port_trade_2	shield_gdp_commerce	building_to_building_own	30	15	0
vik_port_trade_3	shield_gdp_commerce	building_to_building_own	40	20	0
vik_trade_1	shield_gdp_commerce	building_to_building_own	30	15	0
vik_trade_2	shield_gdp_commerce	building_to_building_own	60	30	0
vik_trade_3	shield_gdp_commerce	building_to_building_own	90	45	0
vik_port_herring_1	shield_gdp_farm	building_to_building_own	25	13	0
vik_port_herring_2	shield_gdp_farm	building_to_building_own	32	16	0
vik_port_herring_3	shield_gdp_farm	building_to_building_own	40	20	0
vik_tanner_1	shield_gdp_industry	building_to_building_own	20	10	0
vik_alehouse_1	shield_gdp_commerce	building_to_building_own	20	10	0
vik_martyrs_mint_1	shield_gdp_commerce	building_to_building_own	15	8	0
vik_textiles_1	shield_gdp_commerce	building_to_building_own	20	10	0
vik_textiles_2	shield_gdp_commerce	building_to_building_own	25	13	0
vik_textiles_3	shield_gdp_commerce	building_to_building_own	35	18	0
vik_lead_1	shield_gdp_industry	building_to_building_own	20	20	0
vik_lead_1	shield_gdp_church	building_to_building_own	10	10	0
vik_lead_2	shield_gdp_industry	building_to_building_own	25	25	0
vik_lead_2	shield_gdp_church	building_to_building_own	12	12	0
vik_lead_3	shield_gdp_industry	building_to_building_own	30	30	0
vik_lead_3	shield_gdp_church	building_to_building_own	15	15	0
vik_church_crafts_1	shield_gdp_church	building_to_building_own	40	20	0
vik_church_crafts_2	shield_gdp_church	building_to_building_own	60	30	0
vik_church_crafts_3	shield_gdp_church	building_to_building_own	80	40	0
