building_effects_junction_tables	3
building	effect	effect_scope	value	value_damaged	value_ruined
vik_achad_bo_1	shield_scripted_pop_cap_serf	region_to_region_own	80	80	0
vik_achad_bo_2	shield_scripted_pop_cap_serf	region_to_region_own	160	160	0
vik_achad_bo_3	shield_scripted_pop_cap_serf	region_to_region_own	240	240	0
vik_achad_bo_4	shield_scripted_pop_cap_serf	region_to_region_own	320	320	0
vik_achad_bo_5	shield_scripted_pop_cap_serf	region_to_region_own	400	400	0
vik_st_ciaran_1	shield_scripted_pop_cap_serf	region_to_region_own	80	80	0
vik_st_ciaran_2	shield_scripted_pop_cap_serf	region_to_region_own	160	160	0
vik_st_ciaran_3	shield_scripted_pop_cap_serf	region_to_region_own	240	240	0
vik_st_ciaran_4	shield_scripted_pop_cap_serf	region_to_region_own	320	320	0
vik_st_ciaran_5	shield_scripted_pop_cap_serf	region_to_region_own	400	400	0
vik_st_columbe_1	shield_scripted_pop_cap_serf	region_to_region_own	80	80	0
vik_st_columbe_2	shield_scripted_pop_cap_serf	region_to_region_own	160	160	0
vik_st_columbe_3	shield_scripted_pop_cap_serf	region_to_region_own	240	240	0
vik_st_columbe_4	shield_scripted_pop_cap_serf	region_to_region_own	320	320	0
vik_st_columbe_5	shield_scripted_pop_cap_serf	region_to_region_own	400	400	0
vik_st_patraic_1	shield_scripted_pop_cap_serf	region_to_region_own	80	80	0
vik_st_patraic_2	shield_scripted_pop_cap_serf	region_to_region_own	160	160	0
vik_st_patraic_3	shield_scripted_pop_cap_serf	region_to_region_own	240	240	0
vik_st_patraic_4	shield_scripted_pop_cap_serf	region_to_region_own	320	320	0
vik_st_patraic_5	shield_scripted_pop_cap_serf	region_to_region_own	400	400	0
vik_mountain_hall_1	shield_scripted_pop_cap_serf	region_to_region_own	160	160	0
vik_mountain_hall_2	shield_scripted_pop_cap_serf	region_to_region_own	240	240	0
vik_mountain_hall_3	shield_scripted_pop_cap_serf	region_to_region_own	300	300	0
vik_mountain_hall_4	shield_scripted_pop_cap_serf	region_to_region_own	360	360	0
vik_mountain_hall_5	shield_scripted_pop_cap_serf	region_to_region_own	420	420	0
vik_monastery_1	shield_scripted_pop_cap_serf	region_to_region_own	80	80	0
vik_monastery_2	shield_scripted_pop_cap_serf	region_to_region_own	160	160	0
vik_monastery_3	shield_scripted_pop_cap_serf	region_to_region_own	240	240	0
vik_monastery_4	shield_scripted_pop_cap_serf	region_to_region_own	320	320	0
vik_monastery_5	shield_scripted_pop_cap_serf	region_to_region_own	400	400	0
