building_effects_junction_tables	3
building	effect	effect_scope	value	value_damaged	value_ruined
vik_mountain_hall_1	vik_building_corruption	province_to_province_own	-10	-5	0
vik_mountain_hall_1	vik_fame	faction_to_faction_own_unseen	5	2	0
vik_mountain_hall_1	vik_public_order_new_positive_buildings	province_to_region_own	2	1	0
vik_mountain_hall_2	vik_building_corruption	province_to_province_own	-15	-7	0
vik_mountain_hall_2	vik_fame	faction_to_faction_own_unseen	10	5	0
vik_mountain_hall_2	vik_public_order_new_positive_buildings	province_to_region_own	3	1	0
vik_mountain_hall_3	vik_building_corruption	province_to_province_own	-20	-10	0
vik_mountain_hall_3	vik_fame	faction_to_faction_own_unseen	15	7	0
vik_mountain_hall_3	vik_public_order_new_positive_buildings	province_to_region_own	4	2	0
vik_mountain_hall_4	vik_building_corruption	province_to_province_own	-25	-12	0
vik_mountain_hall_4	vik_fame	faction_to_faction_own_unseen	20	10	0
vik_mountain_hall_4	vik_public_order_new_positive_buildings	province_to_region_own	5	2	0
vik_mountain_hall_5	vik_building_corruption	province_to_province_own	-30	-15	0
vik_mountain_hall_5	vik_fame	faction_to_faction_own_unseen	30	15	0
vik_mountain_hall_5	vik_public_order_new_positive_buildings	province_to_region_own	6	3	0
vik_offas_hall_1	vik_building_corruption	province_to_province_own	-10	-5	0
vik_offas_hall_1	vik_fame	faction_to_faction_own_unseen	5	2	0
vik_offas_hall_1	vik_public_order_new_positive_buildings	province_to_region_own	2	1	0
vik_offas_hall_2	vik_building_corruption	province_to_province_own	-15	-7	0
vik_offas_hall_2	vik_fame	faction_to_faction_own_unseen	10	5	0
vik_offas_hall_2	vik_public_order_new_positive_buildings	province_to_region_own	3	1	0
vik_offas_hall_3	vik_building_corruption	province_to_province_own	-20	-10	0
vik_offas_hall_3	vik_fame	faction_to_faction_own_unseen	15	7	0
vik_offas_hall_3	vik_public_order_new_positive_buildings	province_to_region_own	4	2	0
vik_offas_hall_4	vik_building_corruption	province_to_province_own	-25	-12	0
vik_offas_hall_4	vik_fame	faction_to_faction_own_unseen	20	10	0
vik_offas_hall_4	vik_public_order_new_positive_buildings	province_to_region_own	5	2	0
vik_offas_hall_5	vik_building_corruption	province_to_province_own	-30	-15	0
