building_effects_junction_tables	3
building	effect	effect_scope	value	value_damaged	value_ruined
vik_st_ringan_1	shield_gdp_church	building_to_building_own	10	5	0
vik_st_ringan_2	shield_gdp_church	building_to_building_own	12	6	0
vik_st_ringan_3	shield_gdp_church	building_to_building_own	14	7	0
vik_st_ringan_4	shield_gdp_church	building_to_building_own	16	8	0
vik_st_ringan_5	shield_gdp_church	building_to_building_own	20	10	0
vik_st_cuthbert_1	shield_gdp_church	building_to_building_own	10	5	0
vik_st_cuthbert_2	shield_gdp_church	building_to_building_own	12	6	0
vik_st_cuthbert_3	shield_gdp_church	building_to_building_own	14	7	0
vik_st_cuthbert_4	shield_gdp_church	building_to_building_own	16	8	0
vik_st_cuthbert_5	shield_gdp_church	building_to_building_own	20	10	0
vik_st_dewi_1	shield_gdp_church	building_to_building_own	10	5	0
vik_st_dewi_2	shield_gdp_church	building_to_building_own	12	6	0
vik_st_dewi_3	shield_gdp_church	building_to_building_own	14	7	0
vik_st_dewi_4	shield_gdp_church	building_to_building_own	16	8	0
vik_st_dewi_5	shield_gdp_church	building_to_building_own	20	10	0
vik_st_edmund_1	shield_gdp_church	building_to_building_own	10	5	0
vik_st_edmund_2	shield_gdp_church	building_to_building_own	12	6	0
vik_st_edmund_3	shield_gdp_church	building_to_building_own	14	7	0
vik_st_edmund_4	shield_gdp_church	building_to_building_own	16	8	0
vik_st_edmund_5	shield_gdp_church	building_to_building_own	20	10	0
vik_farm_1	shield_gdp_farm	building_to_building_own	10	5	0
vik_farm_2	shield_gdp_farm	building_to_building_own	14	7	0
vik_farm_3	shield_gdp_farm	building_to_building_own	18	9	0
vik_farm_4	shield_gdp_farm	building_to_building_own	22	11	0
vik_farm_5	shield_gdp_farm	building_to_building_own	26	13	0
vik_farm_b_2	shield_gdp_farm	building_to_building_own	15	8	0
vik_farm_b_3	shield_gdp_farm	building_to_building_own	20	10	0
vik_farm_b_4	shield_gdp_farm	building_to_building_own	25	13	0
vik_farm_b_5	shield_gdp_farm	building_to_building_own	30	15	0
vik_hunting_1	shield_gdp_farm	building_to_building_own	8	4	0
vik_hunting_2	shield_gdp_farm	building_to_building_own	10	5	0
vik_hunting_3	shield_gdp_farm	building_to_building_own	12	6	0
vik_hunting_4	shield_gdp_farm	building_to_building_own	14	7	0
vik_hunting_5	shield_gdp_farm	building_to_building_own	16	8	0
vik_hunting_b_2	shield_gdp_farm	building_to_building_own	10	5	0
vik_hunting_b_3	shield_gdp_farm	building_to_building_own	12	6	0
vik_hunting_b_4	shield_gdp_farm	building_to_building_own	14	7	0
vik_hunting_b_5	shield_gdp_farm	building_to_building_own	16	8	0
vik_orchard_1	shield_gdp_farm	building_to_building_own	12	6	0
vik_orchard_2	shield_gdp_farm	building_to_building_own	20	10	0
vik_orchard_3	shield_gdp_farm	building_to_building_own	28	14	0
vik_orchard_4	shield_gdp_farm	building_to_building_own	36	18	0
vik_orchard_5	shield_gdp_farm	building_to_building_own	44	22	0
vik_orchard_b_2	shield_gdp_farm	building_to_building_own	22	11	0
vik_orchard_b_3	shield_gdp_farm	building_to_building_own	30	15	0
vik_orchard_b_4	shield_gdp_farm	building_to_building_own	40	20	0
vik_orchard_b_5	shield_gdp_farm	building_to_building_own	48	24	0
vik_pasture_1	shield_gdp_farm	building_to_building_own	18	9	0
vik_pasture_2	shield_gdp_farm	building_to_building_own	22	11	0
vik_pasture_3	shield_gdp_farm	building_to_building_own	26	13	0
vik_pasture_4	shield_gdp_farm	building_to_building_own	30	15	0
vik_pasture_5	shield_gdp_farm	building_to_building_own	34	17	0
vik_pasture_b_2	shield_gdp_farm	building_to_building_own	25	13	0
vik_pasture_b_3	shield_gdp_farm	building_to_building_own	28	14	0
vik_pasture_b_4	shield_gdp_farm	building_to_building_own	30	15	0
vik_pasture_b_5	shield_gdp_farm	building_to_building_own	32	16	0
vik_pottery_1	shield_gdp_commerce	building_to_building_own	25	13	0
vik_pottery_2	shield_gdp_commerce	building_to_building_own	35	18	0
vik_pottery_3	shield_gdp_commerce	building_to_building_own	45	23	0
