effect_bundles_to_effects_junctions_tables	2
effect_bundle_key	effect_key	effect_scope	value	advancement_stage
shield_food_storage_bundle_1000	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_1000	shield_food_stored	faction_to_faction_own_unseen	1000	start_turn_completed
shield_food_storage_bundle_1005	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_1005	shield_food_stored	faction_to_faction_own_unseen	1005	start_turn_completed
shield_food_storage_bundle_100	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_100	shield_food_stored	faction_to_faction_own_unseen	100	start_turn_completed
shield_food_storage_bundle_1010	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_1010	shield_food_stored	faction_to_faction_own_unseen	1010	start_turn_completed
shield_food_storage_bundle_1015	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_1015	shield_food_stored	faction_to_faction_own_unseen	1015	start_turn_completed
shield_food_storage_bundle_1020	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_1020	shield_food_stored	faction_to_faction_own_unseen	1020	start_turn_completed
shield_food_storage_bundle_1025	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_1025	shield_food_stored	faction_to_faction_own_unseen	1025	start_turn_completed
shield_food_storage_bundle_1030	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_1030	shield_food_stored	faction_to_faction_own_unseen	1030	start_turn_completed
shield_food_storage_bundle_1035	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_1035	shield_food_stored	faction_to_faction_own_unseen	1035	start_turn_completed
shield_food_storage_bundle_1040	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_1040	shield_food_stored	faction_to_faction_own_unseen	1040	start_turn_completed
shield_food_storage_bundle_1045	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_1045	shield_food_stored	faction_to_faction_own_unseen	1045	start_turn_completed
shield_food_storage_bundle_1050	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_1050	shield_food_stored	faction_to_faction_own_unseen	1050	start_turn_completed
shield_food_storage_bundle_1055	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_1055	shield_food_stored	faction_to_faction_own_unseen	1055	start_turn_completed
shield_food_storage_bundle_105	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_105	shield_food_stored	faction_to_faction_own_unseen	105	start_turn_completed
shield_food_storage_bundle_1060	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_1060	shield_food_stored	faction_to_faction_own_unseen	1060	start_turn_completed
shield_food_storage_bundle_1065	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_1065	shield_food_stored	faction_to_faction_own_unseen	1065	start_turn_completed
shield_food_storage_bundle_1070	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_1070	shield_food_stored	faction_to_faction_own_unseen	1070	start_turn_completed
shield_food_storage_bundle_1075	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_1075	shield_food_stored	faction_to_faction_own_unseen	1075	start_turn_completed
shield_food_storage_bundle_1080	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_1080	shield_food_stored	faction_to_faction_own_unseen	1080	start_turn_completed
shield_food_storage_bundle_1085	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_1085	shield_food_stored	faction_to_faction_own_unseen	1085	start_turn_completed
shield_food_storage_bundle_1090	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_1090	shield_food_stored	faction_to_faction_own_unseen	1090	start_turn_completed
shield_food_storage_bundle_1095	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_1095	shield_food_stored	faction_to_faction_own_unseen	1095	start_turn_completed
shield_food_storage_bundle_10	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_10	shield_food_stored	faction_to_faction_own_unseen	10	start_turn_completed
shield_food_storage_bundle_1100	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_1100	shield_food_stored	faction_to_faction_own_unseen	1100	start_turn_completed
shield_food_storage_bundle_1105	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_1105	shield_food_stored	faction_to_faction_own_unseen	1105	start_turn_completed
shield_food_storage_bundle_110	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_110	shield_food_stored	faction_to_faction_own_unseen	110	start_turn_completed
shield_food_storage_bundle_1110	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_1110	shield_food_stored	faction_to_faction_own_unseen	1110	start_turn_completed
shield_food_storage_bundle_1115	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_1115	shield_food_stored	faction_to_faction_own_unseen	1115	start_turn_completed
shield_food_storage_bundle_1120	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_1120	shield_food_stored	faction_to_faction_own_unseen	1120	start_turn_completed
shield_food_storage_bundle_1125	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_1125	shield_food_stored	faction_to_faction_own_unseen	1125	start_turn_completed
shield_food_storage_bundle_1130	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_1130	shield_food_stored	faction_to_faction_own_unseen	1130	start_turn_completed
shield_food_storage_bundle_1135	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
shield_food_storage_bundle_1135	shield_food_stored	faction_to_faction_own_unseen	1135	start_turn_completed
shield_food_storage_bundle_1140	shield_food_decay	faction_to_faction_own_unseen	-1	start_turn_completed
