Loc PackedFile
Key	Text	Tooltip
effect_bundles_localised_title_shield_food_storage_bundle_1025	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1125	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1225	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1325	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1425	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1525	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1625	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1725	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1825	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1925	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1020	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1120	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1220	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1320	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1420	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1520	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1620	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1720	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1820	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1920	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1035	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1135	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1235	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1335	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1435	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1535	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1635	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1735	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1835	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1935	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1030	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1130	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1230	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1330	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1430	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1530	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_1630	Food Stores	true
