Loc PackedFile
Key	Text	Tooltip
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_abberdeonFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_abberdeonSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_aberffroFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_aberffroSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_aberteifiFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_aberteifiSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_achadh_boFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_achadh_boSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_aebburcurnigFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_aebburcurnigSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_aelmhamFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_aelmhamSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_aethelingaegFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_aethelingaegSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_airchardanFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_airchardanSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_alclytFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_alclytSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_alt_clutFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_alt_clutSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_an_tinbhear_morFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_an_tinbhear_morSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_aporcrosanFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_aporcrosanSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_ard_fertFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_ard_fertSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_ard_machaFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_ard_machaSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_ard_morFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_ard_morSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_ard_srathaFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_ard_srathaSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_ardachFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_ardachSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_axanbrycgFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_axanbrycgSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_ballaFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_ballaSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_basengasFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_basengasSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_bathanceasterFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_bathanceasterSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_bebbanburgFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_bebbanburgSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_bedanfordFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_bedanfordSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_beoferlicFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_beoferlicSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_blasconaFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_blasconaSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_bodmineFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_bodmineSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_bornaisFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_bornaisSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_brechinFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_brechinSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_brideportFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_brideportSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_brugFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_brugSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_buccingahammFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_buccingahammSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_cair_gwentFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_cair_gwentSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_cair_mirddinFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_cair_mirddinSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_cair_segeintFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_cair_segeintSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_cairlinnFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_cairlinnSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_caisilFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_caisilSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_cantwaraburgFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_cantwaraburgSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_carleolFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_carleolSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_casteltounFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_casteltounSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_cathair_commainFIRST	Return the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_cathair_commainSECOND	Keep the Region	true
cdir_events_dilemma_choice_details_localised_choice_label_shield_ally_region_vik_reg_cathair_domnaillFIRST	Return the Region	true
