Loc PackedFile
Key	Text	Tooltip
dilemmas_localised_title_shield_region_key	Allied Land Claim - RegionLocalisation	true
dilemmas_localised_title_shield_ally_region_vik_reg_abberdeon	Allied Land Claim -Abberdeon	true
dilemmas_localised_title_shield_ally_region_vik_reg_aberffro	Allied Land Claim -Aberffro	true
dilemmas_localised_title_shield_ally_region_vik_reg_aberteifi	Allied Land Claim -Aberteifi	true
dilemmas_localised_title_shield_ally_region_vik_reg_achadh_bo	Allied Land Claim -Achadh Bó	true
dilemmas_localised_title_shield_ally_region_vik_reg_aebburcurnig	Allied Land Claim -Aebburcurnig	true
dilemmas_localised_title_shield_ally_region_vik_reg_aelmham	Allied Land Claim -Aelmham	true
dilemmas_localised_title_shield_ally_region_vik_reg_aethelingaeg	Allied Land Claim -Aethelingaeg	true
dilemmas_localised_title_shield_ally_region_vik_reg_airchardan	Allied Land Claim -Airchardan	true
dilemmas_localised_title_shield_ally_region_vik_reg_alclyt	Allied Land Claim -Alclyt	true
dilemmas_localised_title_shield_ally_region_vik_reg_alt_clut	Allied Land Claim -Alt Clut	true
dilemmas_localised_title_shield_ally_region_vik_reg_an_tinbhear_mor	Allied Land Claim -An tinbhear Mor	true
dilemmas_localised_title_shield_ally_region_vik_reg_aporcrosan	Allied Land Claim -Aporcrosan	true
dilemmas_localised_title_shield_ally_region_vik_reg_ard_fert	Allied Land Claim -Ard Fert	true
dilemmas_localised_title_shield_ally_region_vik_reg_ard_macha	Allied Land Claim -Ard Macha	true
dilemmas_localised_title_shield_ally_region_vik_reg_ard_mor	Allied Land Claim -Ard Mór	true
dilemmas_localised_title_shield_ally_region_vik_reg_ard_sratha	Allied Land Claim -Ard Sratha	true
dilemmas_localised_title_shield_ally_region_vik_reg_ardach	Allied Land Claim -Ardach	true
dilemmas_localised_title_shield_ally_region_vik_reg_axanbrycg	Allied Land Claim -Axanbrycg	true
dilemmas_localised_title_shield_ally_region_vik_reg_balla	Allied Land Claim -Balla	true
dilemmas_localised_title_shield_ally_region_vik_reg_basengas	Allied Land Claim -Basengas	true
dilemmas_localised_title_shield_ally_region_vik_reg_bathanceaster	Allied Land Claim -Bathanceaster	true
dilemmas_localised_title_shield_ally_region_vik_reg_bebbanburg	Allied Land Claim -Bebbanburg	true
dilemmas_localised_title_shield_ally_region_vik_reg_bedanford	Allied Land Claim -Bedanford	true
dilemmas_localised_title_shield_ally_region_vik_reg_beoferlic	Allied Land Claim -Beoferlic	true
dilemmas_localised_title_shield_ally_region_vik_reg_blascona	Allied Land Claim -Blascona	true
dilemmas_localised_title_shield_ally_region_vik_reg_bodmine	Allied Land Claim -Bodmine	true
dilemmas_localised_title_shield_ally_region_vik_reg_bornais	Allied Land Claim -Bornais	true
dilemmas_localised_title_shield_ally_region_vik_reg_brechin	Allied Land Claim -Brechin	true
dilemmas_localised_title_shield_ally_region_vik_reg_brideport	Allied Land Claim -Brideport	true
dilemmas_localised_title_shield_ally_region_vik_reg_brug	Allied Land Claim -Brug	true
dilemmas_localised_title_shield_ally_region_vik_reg_buccingahamm	Allied Land Claim -Buccingahamm	true
dilemmas_localised_title_shield_ally_region_vik_reg_cair_gwent	Allied Land Claim -Cair Gwent	true
dilemmas_localised_title_shield_ally_region_vik_reg_cair_mirddin	Allied Land Claim -Cair Mirddin	true
dilemmas_localised_title_shield_ally_region_vik_reg_cair_segeint	Allied Land Claim -Cair Segeint	true
dilemmas_localised_title_shield_ally_region_vik_reg_cairlinn	Allied Land Claim -Cairlinn	true
dilemmas_localised_title_shield_ally_region_vik_reg_caisil	Allied Land Claim -Caisil	true
